,Lesson(s) Learned Level 1,Driving Event Level 1,Recommendation(s) Level 1,Lesson IDs for row,Number of lessons for row
1366,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component",[5010],1
1367,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor","[1278, 5004]",2
1368,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[1264],1
1369,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[262, 926, 1237, 1262, 9001, 10801]",6
1370,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[193, 930, 1012, 1225]",4
1371,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing",[1112],1
1372,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[925],1
1373,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","degradation, deep space, station, compatibility, downlink, real, mission, effect, long term, term",[922],1
1374,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[313, 410, 550, 730, 797]",5
1375,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","real time, stable, share, command sequence, remote, real, reduce, likelihood, file, center wide","[680, 1004]",2
1376,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[678, 3338]",2
1377,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[438],1
1378,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor",[402],1
1379,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","crane, strap, second, lift, load, redesign, release, secure, stop, modify",[425],1
1380,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","installation, clearance, match, fidelity, examine, thoroughly, carefully, concern, correct, identify",[422],1
1381,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","degradation, deep space, station, compatibility, downlink, real, mission, effect, long term, term",[304],1
1382,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[270],1
1383,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection",[23701],1
1384,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","crane, strap, second, lift, load, redesign, release, secure, stop, modify",[7096],1
1385,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[2036, 5205]",2
1386,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[6150],1
1387,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","vacuum, extend period, plate, hour, extend, carefully, consider, mount, period, temperature","[1345, 1530]",2
1388,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[1323],1
1389,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[1290],1
1390,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","mandatory, conflict, safety concern, prior release, incoming, mandatory inspection, paper, space center, release, section",[1258],1
1391,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[1160, 1206]",2
